locality,latitude,longitude,display_name,class,type,query_used
Chinchpada Gaon,19.2222178,73.1401912,"Chinchpada Road, Kalyan, Kalyan-Dombivli, Kalyan Subdistrict, Thane, Maharashtra, 421306, India",,tertiary,Chinchpada Kalyan Maharashtra India
Chirag Nagar,19.0878678,72.9010736,"Chirag Nagar Police Colony, Ghatkopar West, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, India",,residential,"Chirag Nagar, Maharashtra, India"
Christian Gaon,,,,,,
Cidco Colony,19.0789760,73.0758488,"CIDCO Colony, Taloja, Panvel, Panvel Subdistrict, Raigad, Maharashtra, India",,residential,"Cidco Colony, Maharashtra, India"
Dadar,19.0192269,72.8428479,"Dadar, Ranade Road Extension, Dadar West, G/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400028, India",,station,"Dadar, Maharashtra, India"
Damle Colony,18.5149237,73.8268604,"V. G. Damle Path, Ex-Servicemen Colony, Erandwane, Anandnagar, Pune City Subdistrict, Pune District, Maharashtra, 411001, India",,residential,"Damle Colony, Maharashtra, India"
Deonar,19.0475502,72.9051895,"Deonar, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400089, India",,suburb,"Deonar, Maharashtra, India"
Deonar Municipal Colony,19.0536503,72.9240918,"Deonar Colony, Govandi East, M/E Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400088, India",,neighbourhood,Deonar Colony Mumbai Maharashtra India
Dhansar,,,,,,
Dharavi,19.0444630,72.8586177,"Dharavi, Mumbai Zone 2, Mumbai City District, Maharashtra, India",,administrative,"Dharavi, Maharashtra, India"
Dongri,18.9622265,72.8367950,"Dongri, B Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 200008, India",,suburb,"Dongri, Maharashtra, India"
Dronagiri,18.8813327,72.9647315,"Dronagiri, Panvel Uran Road, Bokadvira, Uran Subdistrict, Raigad, Maharashtra, 400707, India",,station,"Dronagiri, Maharashtra, India"
Ganesh Murti Nagar,,,,,,
Ganesh Nagar,18.5927116,73.8625967,"Ganesh Nagar, Pimpri-Chinchwad, Haveli Subdistrict, Pune District, Maharashtra, 411031, India",,suburb,"Ganesh Nagar, Maharashtra, India"
Gangawadi,19.3237386,75.9024811,"Gangawadi, Georai, Beed District, Maharashtra, India",,village,"Gangawadi, Maharashtra, India"
Gaon Devi,19.0375567,73.0140985,"gaon devi mandir, Nerul West, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, India",,recreation_ground,"Gaon Devi, Maharashtra, India"
Garodia Nagar,19.0741334,72.9085221,"Garodia Nagar, Vidya Vihar East, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400077, India",,neighbourhood,"Garodia Nagar, Maharashtra, India"
Ghansoli,19.1163797,73.0069928,"Ghansoli, Ghansoli Station Road, Sector 6, Ghansoli, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400701, India",,station,"Ghansoli, Maharashtra, India"
Ghatkopar,19.0856928,72.9083668,"Ghatkopar, Station Road, Kapol Wadi, Ghatkopar East, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400086, India",,station,"Ghatkopar, Maharashtra, India"
Ghatla,19.0517387,72.9103117,"Ghatla, Waman Tukaram Patil Marg, Nagesh Patil Wadi, Deonar, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400088, India",,hotel,"Ghatla, Maharashtra, India"
Ghodapdeo,18.9820061,72.8392802,"Ghodapdeo, Byculla East, E Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, India",,neighbourhood,"Ghodapdeo, Maharashtra, India"
Girgaon,18.9543165,72.8179082,"Girgaon, D Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400004, India",,suburb,"Girgaon, Maharashtra, India"
Gothivali Village,19.1388528,72.9989393,"Gothivali Village, MIDC - Rabale, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 410701, India",,neighbourhood,"Gothivali Village, Maharashtra, India"
Govandi,19.0553688,72.9150702,"Govandi, B S Devashi Marg, Samrat Ashok Nagar, Govandi West, M/E Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400043, India",,station,"Govandi, Maharashtra, India"
Govind Nagar,19.9833412,73.7793088,"Govind Nagar, Nashik, Nashik Subdistrict, Nashik District, Maharashtra, 422001, India",,suburb,"Govind Nagar, Maharashtra, India"
Grant Road,18.9633549,72.8158261,"Grant Road, N Bharucha Marg, Gamdevi, D Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400036, India",,station,"Grant Road, Maharashtra, India"
GuruTeg Bahadur Nagar,19.0380048,72.8643455,"Guru Tegh Bahadur Nagar, M Ambedkar Marg, Agarwada Colony, Indira Nagar, F/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400022, India",,station,Guru Tegh Bahadur Nagar Mumbai Maharashtra India
Hallow Pul,19.0757274,72.8799569,"Hallow Pul, Kurla West, L Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400070, India",,neighbourhood,"Hallow Pul, Maharashtra, India"
Hariyali,19.1136865,72.9297750,"Hariyali, Vikhroli West, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400083, India",,neighbourhood,"Hariyali, Maharashtra, India"
Hira Nagar,19.1618156,72.9462889,"Hira Nagar, Mulund West, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400080, India",,neighbourhood,"Hira Nagar, Maharashtra, India"
IIT Area,19.1326186,72.9149702,"Indian Institute of Technology Bombay, Powai, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400076, India",,university,IIT Bombay Powai Mumbai Maharashtra India
Indira Nagar,19.0360520,72.8635501,"Indira Nagar, F/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400022, India",,suburb,"Indira Nagar, Maharashtra, India"
JNPT Township,18.9020880,72.9788691,"JNPT Township, Uran Subdistrict, Raigad, Maharashtra, 400707, India",,residential,"JNPT Township, Maharashtra, India"
Jagruti Nagar,19.0925442,72.9019518,"Jagruti Nagar, Sant Narsee Mehta Marg, Azad Nagar, Ghatkopar West, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400086, India",,station,"Jagruti Nagar, Maharashtra, India"
Jambhulpada,18.6519741,73.2964623,"Jambhulpada, Sudhagad Taluka, Raigad, Maharashtra, India",,village,"Jambhulpada, Maharashtra, India"
Jamil Nagar,19.1433206,72.9251908,"Jamil Nagar, Bhandup West, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400078, India",,neighbourhood,"Jamil Nagar, Maharashtra, India"
Jaydev Singh Nagar,,,,,,
Kalamboli,19.0344708,73.1149672,"Kalamboli, Steel Market Road, Kalamboli, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 410218, India",,station,"Kalamboli, Maharashtra, India"
Kalyan,19.2396742,73.1366482,"Kalyan, Ambivali, Kalyan-Dombivli, Kalyan Subdistrict, Thane, Maharashtra, India",,suburb,"Kalyan, Maharashtra, India"
Kamathi Wada,18.9650659,72.8261833,"Kamathipura, Nagpada, E Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400004, India",,neighbourhood,Kamathipura Mumbai Maharashtra India
Kamgar Nagar,19.0102201,72.8274009,"Kamgar Nagar, Prabhadevi, G/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400025, India",,neighbourhood,"Kamgar Nagar, Maharashtra, India"
Kamothe,19.0164338,73.0806552,"Mansarovar, Mansarovar Station Road, Jui, Navi Mumbai, Panvel Subdistrict, Raigad, Maharashtra, 410209, India",,station,"Kamothe, Maharashtra, India"
Kanjur Village,19.1336970,72.9381936,"Kanjur Village, Bhandup East, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400042, India",,neighbourhood,"Kanjur Village, Maharashtra, India"
Kanjurmarg,19.1241020,72.9385562,"Kanjurmarg Flyover, Tagore Nagar, Vikhroli East, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400042, India",,trunk,"Kanjurmarg, Maharashtra, India"
Kanjurmarg west,19.1321171,72.9273332,"Dockyard kanjurmarg St, Lal Bahadur Shastri Marg, Kanjur West, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400042, India",,bus_stop,"Kanjurmarg west, Maharashtra, India"
Kannamwar Nagar 1,19.1168383,72.9401198,"Kannamwar Nagar II, Vikhroli East, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400083, India",,neighbourhood,"Kannamwar Nagar 1, Maharashtra, India"
Kannamwar Nagar 2,19.1168383,72.9401198,"Kannamwar Nagar II, Vikhroli East, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400083, India",,neighbourhood,"Kannamwar Nagar 2, Maharashtra, India"
Karanjade,,,,,,
Kataria Colony,19.0306569,72.8485194,"Takandas H. Kataria Marg, Telephone Colony, Matunga West, G/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400016, India",,secondary,"Kataria Colony, Maharashtra, India"
Katemanivali,19.2289657,73.1438554,"Katemanivali Road, Kalyan, Kalyan-Dombivli, Kalyan Subdistrict, Thane, Maharashtra, 421003, India",,secondary,"Katemanivali, Maharashtra, India"
Kausa,19.1837247,73.0194696,"Mumbra-Kausa Bypass, Mumbra, Reti Bandar, Thane, Thane Subdistrict, Thane, Maharashtra, 400708, India",,trunk,"Kausa, Maharashtra, India"
Kegaon,17.7165509,75.8492555,"Kegaon, Solapur North, Solapur District, Maharashtra, 413255, India",,village,"Kegaon, Maharashtra, India"
Kemps corner,18.9637535,72.8068617,"Kemps Corner, Cumballa Hill, D Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400036, India",,locality,"Kemps corner, Maharashtra, India"
Keshav Pada,19.1717774,72.9463808,"Keshav Pada, Mulund West, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400080, India",,neighbourhood,"Keshav Pada, Maharashtra, India"
Khalai Village,,,,,,
Khalapur,18.8321669,73.2852464,"Khalapur, Khalapur Taluka, Raigad, Maharashtra, 410202, India",,village,"Khalapur, Maharashtra, India"
Khanda Colony,19.0062716,73.1077566,"Khanda Colony, Flyover, New Panvel, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 401206, India",,bus_stop,"Khanda Colony, Maharashtra, India"
Khandeshhwar,19.0073498,73.0952827,"Khandeshwar, Khandeshwar Station Road, Navi Mumbai, Panvel Subdistrict, Raigad, Maharashtra, 410206, India",,station,Khandeshwar Navi Mumbai Maharashtra India
Kharghar,19.0525298,73.0735111,"Kharghar, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 420210, India",,suburb,"Kharghar, Maharashtra, India"
Khindipada,19.1650350,72.9304173,"Khindipada, Nahur, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400082, India",,neighbourhood,"Khindipada, Maharashtra, India"
Kirol Village,19.0816423,72.8970712,"KIROL VILLAGE, Vidya Vihar West, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400086, India",,residential,"Kirol Village, Maharashtra, India"
Kopar Khairane,19.1056227,72.9988648,"Kopar Khairane Village, Kopar Khairne, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400709, India",,locality,"Kopar Khairane, Maharashtra, India"
Krishna Nagar,17.6881858,74.0260700,"Krishna Nagar, Satara, Maharashtra, 415002, India",,neighbourhood,"Krishna Nagar, Maharashtra, India"
Kurla,19.0652797,72.8793805,"Kurla, S G Barve Marg, Brahmanwadi, Kurla West, L Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400024, India",,station,"Kurla, Maharashtra, India"
LBS Marg,19.0816540,72.8816381,"Lal Bahadur Shastri Marg, Hallow Pul, Kurla West, L Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400070, India",,primary,"LBS Marg, Maharashtra, India"
Lalbaug,18.9914237,72.8364587,"Lalbaug, F/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400011, India",,suburb,"Lalbaug, Maharashtra, India"
Laxmi Colony,19.0919482,72.9169798,"H 1-C, H 1-C, Triveni Co-operative Housing Society, MHADA colony, Laxmi Nagar, Ghatkopar - E, Rajaram Bane Marg, Laxmi Nagar, Ghatkopar, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400075, India",,apartments,"Laxmi Colony, Maharashtra, India"
Lok Milan Colony,,,,,,
Lower Parel,18.9956800,72.8302756,"Lower Parel, Delisle Road ROB, BDD Chawl, Lower Parel, G/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400013, India",,station,"Lower Parel, Maharashtra, India"
Mahalaxmi,18.9825203,72.8242196,"Mahalaxmi, Mahalakshmi Station Flyover, Dhobi Ghat, Mahalakshmi, G/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400027, India",,station,"Mahalaxmi, Maharashtra, India"
Mahim,19.0423145,72.8398344,"Mahim, G/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400016, India",,suburb,"Mahim, Maharashtra, India"
Manda,20.0016003,79.5911890,"Manda Tukam, Tolewahi, Mul Taluka, Chandrapur, Maharashtra, India",,hamlet,"Manda, Maharashtra, India"
Mandala,20.8522860,76.9117427,"Mandala, Akola, Akola District, Maharashtra, India",,administrative,"Mandala, Maharashtra, India"
Maneklal Estate,,,,,,
Mankhurd,19.0482086,72.9317136,"Mankhurd, Mankhurd Station Road, Mankhurd Village, Mankhurd, M/E Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400094, India",,station,"Mankhurd, Maharashtra, India"
Masjid Bandar,18.9533897,72.8391555,"Lower Masjid Bandar Road, Dana Bandar, Masjid Bunder, B Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400009, India",,unclassified,"Masjid Bandar, Maharashtra, India"
Mata Ramabai Ambedkar Nagar,19.0762815,72.9177733,"Ramabai Ambedkar Nagar, Nalanda Nagar, Ghatkopar, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400075, India",,locality,Ramabai Ambedkar Nagar Ghatkopar Mumbai Maharashtra India
Matunga,19.0274356,72.8501467,"Matunga, Bhandarkar Road, Matunga East, F/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400019, India",,station,"Matunga, Maharashtra, India"
Mazgaon,18.9697337,72.8406201,"Mazgaon, E Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 200008, India",,suburb,"Mazgaon, Maharashtra, India"
Mhada Colony,20.2511706,75.7665521,"Mhada Colony, Bhokardan, Jalna District, Maharashtra, 431114, India",,suburb,"Mhada Colony, Maharashtra, India"
Moti Nagar,19.3051318,72.8485201,"Moti Nagar Road, Bhayander West, Murdha, Mira-Bhayander, Thane Subdistrict, Thane, Maharashtra, 401101, India",,residential,"Moti Nagar, Maharashtra, India"
Mulund,19.1721366,72.9566971,"Mulund, Platform 4, Vijay Nagar, Mulund East, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400081, India",,station,"Mulund, Maharashtra, India"
Mumbai Central,18.9695855,72.8193152,"Mumbai Central, J Boman Behram Marg, Cowasji Jehangir Colony, Tulsi Wadi, D Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400004, India",,station,"Mumbai Central, Maharashtra, India"
Mumbra,19.1899425,73.0230752,"Mumbra, Mumbra Flyover, Mumbra, Reti Bandar, Thane, Thane Subdistrict, Thane, Maharashtra, 400612, India",,station,"Mumbra, Maharashtra, India"
Nagaon,16.9863832,74.6306527,"Nagaon, Tasgaon, Sangli District, Maharashtra, 416307, India",,village,"Nagaon, Maharashtra, India"
Nagpada,18.9681782,72.8286009,"Nagpada, E Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400004, India",,suburb,"Nagpada, Maharashtra, India"
Nahar Amrit Shakti,19.1049242,72.8985884,"Nahar Amrit Shakti, Chandivali, L Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, India",,residential,"Nahar Amrit Shakti, Maharashtra, India"
Nahur,19.1546402,72.9466525,"Nahur, M D Keni Road, RCF Colony, Nahur, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400078, India",,station,"Nahur, Maharashtra, India"
Nandivali Gaon,19.1981479,73.0848216,"Cross Nandivali Road, Sagaon, Dombivli, Kalyan-Dombivli, Kalyan Subdistrict, Thane, Maharashtra, 421203, India",,residential,Nandivali Dombivli Maharashtra India
Nandkarni Park,19.0173569,72.8634317,"Nadkarni Park, Antop Hill, F/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400031, India",,neighbourhood,Nadkarni Park Wadala Mumbai Maharashtra India
Nariman Point,18.9270890,72.8235859,"Nariman Point, Colaba, A Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400021, India",,neighbourhood,"Nariman Point, Maharashtra, India"
Navada Colony,19.0538460,73.1030296,"Navade Road, MIDC Road Flyover, MIDC Taloja, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 401218, India",,halt,Navade Panvel Maharashtra India
Neelam Nagar,19.1745887,72.9651296,"Neelam Nagar, Mulund East, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400081, India",,neighbourhood,"Neelam Nagar, Maharashtra, India"
Nehru Nagar,19.0010485,72.8194265,"Nehru Nagar, G/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400018, India",,suburb,"Nehru Nagar, Maharashtra, India"
"Nehru Nagar,Kurla",19.0610000,72.8810000,"Nehru Nagar, Kurla East, L Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400024, India",,neighbourhood,"Nehru Nagar,Kurla, Maharashtra, India"
Nerul,19.0335938,73.0181640,"Nerul, Mata Amritanandamayi Marg, Nerul Village, Nerul West, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400706, India",,station,"Nerul, Maharashtra, India"
New Gautam Nagar,19.0602622,72.9154444,"New Gautam Nagar, Govandi East, M/E Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400044, India",,neighbourhood,"New Gautam Nagar, Maharashtra, India"
New Panvel,18.9993761,73.1239899,"New Panvel, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 410206, India",,suburb,"New Panvel, Maharashtra, India"
New Rajaram Wadi,,,,,,
Old Panvel,18.9876767,73.1112492,"Old Panvel Bhaji Market, New Panvel, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 410200, India",,tertiary,"Old Panvel, Maharashtra, India"
Palaspa,18.9602915,73.1309637,"Palaspa Bus Stand, NH66, Panvel Subdistrict, Raigad, Maharashtra, 410221, India",,bus_stop,"Palaspa, Maharashtra, India"
Palaspe Phata,18.9704929,73.1324019,"Palaspe Phata Bus Stand, NH48, Panvel Subdistrict, Raigad, Maharashtra, 410221, India",,bus_stop,"Palaspe Phata, Maharashtra, India"
Panchkutir Ganesh Nagar,,,,,,
Pant Nagar,19.0833305,72.9115042,"Pant Nagar, Ghatkopar East, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400075, India",,neighbourhood,"Pant Nagar, Maharashtra, India"
Panvel,18.9895249,73.1221935,"Panvel, Panvel Subdistrict, Raigad, Maharashtra, India",,administrative,"Panvel, Maharashtra, India"
Parel,19.0084268,72.8425050,"Parel, F/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400028, India",,suburb,"Parel, Maharashtra, India"
Pereira Wadi,19.0894168,72.8833921,"Pereira Wadi, Jarimari, Asalpha, L Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400070, India",,locality,"Pereira Wadi, Maharashtra, India"
Pestom Sagar Colony,19.0692541,72.9019227,"Pestom Sagar Colony, Chheda Nagar, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400012, India",,neighbourhood,"Pestom Sagar Colony, Maharashtra, India"
Pirojshanagar,19.1016734,72.9236504,"Pirojsha Godrej Nagar, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400079, India",,suburb,"Pirojshanagar, Maharashtra, India"
Pisavli,,,,,,
Postal Colony,19.0607418,72.8949685,"Postal Colony, Chembur, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400089, India",,neighbourhood,"Postal Colony, Maharashtra, India"
Powai,19.1187195,72.9073476,"Powai, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400076, India",,suburb,"Powai, Maharashtra, India"
Pratap Nagar,18.8131139,76.8878174,"Pratap Nagar, Ahmadpur, Latur District, Maharashtra, India",,village,"Pratap Nagar, Maharashtra, India"
Pushpak Nagar,17.8910705,73.7891047,"ulwe, 123, Satara, Jaoli, Satara, Maharashtra, 400706, India",,village,"Pushpak Nagar, Maharashtra, India"
RCF Colony Chembur,19.0415311,72.9019065,"Loreto Convent School, RCF colony,chembur, TEC Niwas Sthan Road, BP Colony, Fertilizer Colony, M/E Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400074, India",,yes,"RCF Colony Chembur, Maharashtra, India"
